,cust_number,buisness_year,doc_id,document_create_date.1,converted_usd,business_code_enc,day_of_postingdate,month_of_postingdate,year_of_postingdate,day_of_due,month_of_due,year_of_due,day_of_createdate,month_of_createdate,year_of_createdate,cust_payment_terms_enc,name_customer_enc,due_in_date,clear_date,Aging Bucket
52,200769623,2020.0,1930776682.0,2020-04-13 00:00:00.000000000,12554.13,65,13,4,2020,28,4,2020,13,4,2020,34,2984,28-4-2020,2020-04-27 23:59:59.999999998,0-15days
53,200720238,2020.0,1930858727.0,2020-05-06 00:00:00.000000000,126919.03,65,6,5,2020,21,5,2020,6,5,2020,21,2906,21-5-2020,2020-05-21 00:00:00.000000007,0-15days
54,140106408,2020.0,2960631200.0,2020-04-25 00:00:00.000000000,28537.684,65,25,4,2020,5,5,2020,25,4,2020,5,2971,5-5-2020,2020-05-05 00:00:00.000000008,0-15days
55,200769623,2020.0,1930729999.0,2020-04-01 00:00:00.000000000,24834.9,65,1,4,2020,16,4,2020,1,4,2020,34,2978,16-4-2020,2020-04-15 23:59:59.999999998,0-15days
56,200769623,2020.0,1930653060.0,2020-03-15 00:00:00.000000000,50202.83,65,15,3,2020,30,3,2020,15,3,2020,34,2986,30-3-2020,2020-03-29 23:59:59.999999998,0-15days
57,200769623,2020.0,1930715979.0,2020-04-01 00:00:00.000000000,8299.7,65,1,4,2020,16,4,2020,1,4,2020,34,2986,16-4-2020,2020-04-15 23:59:59.999999998,0-15days
58,200799367,2020.0,1930673430.0,2020-03-24 00:00:00.000000000,51602.13,65,24,3,2020,8,4,2020,24,3,2020,21,1803,8-4-2020,2020-08-04 00:00:00.000000001,0-15days
59,200759878,2020.0,1930783249.0,2020-04-14 00:00:00.000000000,18900.99,65,14,4,2020,29,4,2020,14,4,2020,34,2359,29-4-2020,2020-04-28 23:59:59.999999996,0-15days
60,200794332,2020.0,1930638145.0,2020-03-14 00:00:00.000000000,49467.7,65,14,3,2020,29,3,2020,14,3,2020,23,607,29-3-2020,2020-03-29 00:00:00.000000000,0-15days
61,200515231,2020.0,1930768145.0,2020-04-09 00:00:00.000000000,10187.66,65,9,4,2020,24,4,2020,9,4,2020,21,2898,24-4-2020,2020-04-24 00:00:00.000000004,0-15days
62,200782669,2020.0,1930636977.0,2020-03-13 00:00:00.000000000,237.4,65,13,3,2020,28,3,2020,13,3,2020,21,2681,28-3-2020,2020-03-28 00:00:00.000000006,0-15days
63,200769623,2020.0,1930882979.0,2020-05-12 00:00:00.000000000,11532.84,65,12,5,2020,27,5,2020,12,5,2020,34,2981,27-5-2020,2020-05-26 23:59:59.999999998,0-15days
64,200769623,2020.0,1930692833.0,2020-03-24 00:00:00.000000000,20017.92,65,24,3,2020,8,4,2020,24,3,2020,34,2976,8-4-2020,2020-08-03 23:59:59.999999998,0-15days
65,200331749,2020.0,1930579080.0,2020-02-28 00:00:00.000000000,5320.85,65,28,2,2020,14,3,2020,28,2,2020,21,2695,14-3-2020,2020-03-14 00:00:00.000000006,0-15days
66,200772670,2020.0,1930819529.0,2020-04-23 00:00:00.000000000,30900.83,65,23,4,2020,8,5,2020,23,4,2020,47,175,8-5-2020,2020-08-05 00:00:00.000000000,0-15days
67,200772670,2020.0,1930736164.0,2020-04-02 00:00:00.000000000,65843.26,65,2,4,2020,17,4,2020,2,4,2020,47,184,17-4-2020,2020-04-16 23:59:59.999999999,0-15days
68,200706844,2020.0,1930599854.0,2020-03-04 00:00:00.000000000,359.44,65,4,3,2020,19,3,2020,4,3,2020,21,3043,19-3-2020,2020-03-19 00:00:00.000000003,0-15days
69,100043975,2020.0,1930740345.0,2020-04-03 00:00:00.000000000,1427.36,65,3,4,2020,18,4,2020,3,4,2020,21,1395,18-4-2020,2020-04-18 00:00:00.000000002,0-15days
70,200762301,2020.0,1930592552.0,2020-03-04 00:00:00.000000000,99091.71,65,4,3,2020,19,3,2020,4,3,2020,26,431,19-3-2020,2020-03-19 00:00:00.000000001,0-15days
71,200148860,2020.0,1930732920.0,2020-04-03 00:00:00.000000000,6543.44,65,3,4,2020,7,6,2020,3,4,2020,33,781,7-6-2020,2020-07-05 23:59:59.999999989,0-15days
72,100027744,2020.0,2960635652.0,2020-05-19 00:00:00.000000000,4924.5,65,19,5,2020,19,5,2020,19,5,2020,8,2906,19-5-2020,2020-05-19 00:00:00.000000002,0-15days
73,100031704,2020.0,1930585468.0,2020-03-01 00:00:00.000000000,106394.18,65,1,3,2020,16,3,2020,1,3,2020,21,723,16-3-2020,2020-03-16 00:00:00.000000004,0-15days
74,200799420,2020.0,1930703225.0,2020-03-25 00:00:00.000000000,801.1,65,25,3,2020,9,4,2020,25,3,2020,21,2906,9-4-2020,2020-09-04 00:00:00.000000007,0-15days
75,200974851,2020.0,1930706997.0,2020-03-26 00:00:00.000000000,3566.69,65,26,3,2020,10,4,2020,26,3,2020,21,2289,10-4-2020,2020-10-04 00:00:00.000000000,0-15days
76,200769623,2020.0,1930830709.0,2020-04-28 00:00:00.000000000,8885.57,65,28,4,2020,13,5,2020,28,4,2020,34,2982,13-5-2020,2020-05-12 23:59:59.999999998,0-15days
77,200793568,2020.0,1930630388.0,2020-03-10 00:00:00.000000000,15893.27,65,10,3,2020,25,3,2020,10,3,2020,21,2643,25-3-2020,2020-03-25 00:00:00.000000005,0-15days
78,200759878,2020.0,1930609945.0,2020-03-06 00:00:00.000000000,70180.8,65,6,3,2020,21,3,2020,6,3,2020,34,2362,21-3-2020,2020-03-20 23:59:59.999999996,0-15days
79,200712187,2020.0,1930806222.0,2020-04-20 00:00:00.000000000,119384.36,65,20,4,2020,5,5,2020,20,4,2020,21,2585,5-5-2020,2020-05-04 23:59:59.999999998,0-15days
80,100047532,2020.0,1930592834.0,2020-03-04 00:00:00.000000000,11852.54,65,4,3,2020,19,3,2020,4,3,2020,21,2906,19-3-2020,2020-03-19 00:00:00.000000004,0-15days
81,200794332,2020.0,1930562584.0,2020-02-28 00:00:00.000000000,11225.42,65,28,2,2020,19,3,2020,28,2,2020,18,606,19-3-2020,2020-03-19 00:00:00.000000001,0-15days
82,200148860,2020.0,1930699340.0,2020-03-25 00:00:00.000000000,5456.75,65,25,3,2020,29,5,2020,25,3,2020,33,781,29-5-2020,2020-05-28 23:59:59.999999990,0-15days
83,200794332,2020.0,1930862420.0,2020-05-08 00:00:00.000000000,81500.86,65,8,5,2020,23,5,2020,8,5,2020,23,611,23-5-2020,2020-05-22 23:59:59.999999999,0-15days
84,200555117,2020.0,1930709963.0,2020-03-27 00:00:00.000000000,749.14,65,27,3,2020,11,4,2020,27,3,2020,21,377,11-4-2020,2020-11-04 00:00:00.000000003,0-15days
85,200769623,2020.0,1930878284.0,2020-05-09 00:00:00.000000000,2219.89,65,9,5,2020,24,5,2020,9,5,2020,34,2982,24-5-2020,2020-05-23 23:59:59.999999998,0-15days
86,200772670,2020.0,1930683241.0,2020-03-21 00:00:00.000000000,15489.78,65,21,3,2020,5,4,2020,21,3,2020,47,177,5-4-2020,2020-05-04 00:00:00.000000000,0-15days
87,200707822,2020.0,1930857983.0,2020-05-04 00:00:00.000000000,126107.91,65,4,5,2020,19,5,2020,4,5,2020,21,2194,19-5-2020,2020-05-19 00:00:00.000000000,0-15days
88,140104392,2020.0,2960619205.0,2020-03-06 00:00:00.000000000,2528.673,65,6,3,2020,20,3,2020,10,3,2020,5,2906,20-3-2020,2020-03-20 00:00:00.000000003,0-15days
89,200769623,2020.0,1930831780.0,2020-04-28 00:00:00.000000000,11545.38,65,28,4,2020,13,5,2020,28,4,2020,34,2979,13-5-2020,2020-05-12 23:59:59.999999998,0-15days
90,200759878,2020.0,1930717567.0,2020-03-31 00:00:00.000000000,47646.57,65,31,3,2020,15,4,2020,31,3,2020,34,2365,15-4-2020,2020-04-14 23:59:59.999999996,0-15days
91,200705742,2020.0,1930581678.0,2020-02-28 00:00:00.000000000,5932.51,65,28,2,2020,14,3,2020,28,2,2020,21,815,14-3-2020,2020-03-13 23:59:59.999999996,0-15days
92,200793568,2020.0,1930690537.0,2020-03-23 00:00:00.000000000,1635.76,65,23,3,2020,7,4,2020,23,3,2020,21,2645,7-4-2020,2020-07-04 00:00:00.000000005,0-15days
93,200726979,2020.0,1930646128.0,2020-03-12 00:00:00.000000000,1286.3,65,12,3,2020,27,3,2020,12,3,2020,21,309,27-3-2020,2020-03-27 00:00:00.000000002,0-15days
94,200704858,2020.0,1930762384.0,2020-04-09 00:00:00.000000000,99568.42,65,9,4,2020,24,4,2020,9,4,2020,21,2949,24-4-2020,2020-04-24 00:00:00.000000002,0-15days
95,200780383,2020.0,1930665025.0,2020-03-18 00:00:00.000000000,3612.63,65,18,3,2020,2,4,2020,18,3,2020,21,1839,2-4-2020,2020-02-04 00:00:00.000000002,0-15days
96,200762301,2020.0,1930778021.0,2020-04-12 00:00:00.000000000,102276.04,65,12,4,2020,27,4,2020,12,4,2020,26,426,27-4-2020,2020-04-27 00:00:00.000000000,0-15days
97,140106271,2020.0,2960626604.0,2020-04-03 00:00:00.000000000,8615.453,65,3,4,2020,17,4,2020,7,4,2020,5,1661,17-4-2020,2020-04-17 00:00:00.000000001,0-15days
98,140104423,2020.0,2960628851.0,2020-04-17 00:00:00.000000000,45059.545999999995,65,17,4,2020,1,5,2020,21,4,2020,5,1865,1-5-2020,2020-01-05 00:00:00.000000000,0-15days
99,200741174,2020.0,1930657267.0,2020-03-16 00:00:00.000000000,5767.83,65,16,3,2020,31,3,2020,16,3,2020,21,1677,31-3-2020,2020-03-31 00:00:00.000000004,0-15days
100,100030194,2020.0,2960622411.0,2020-03-18 00:00:00.000000000,9851.667,65,18,3,2020,30,3,2020,20,3,2020,5,109,30-3-2020,2020-03-30 00:00:00.000000002,0-15days
101,200769623,2020.0,1930720012.0,2020-03-30 00:00:00.000000000,42379.83,65,30,3,2020,14,4,2020,30,3,2020,34,2985,14-4-2020,2020-04-13 23:59:59.999999998,0-15days
102,200592182,2020.0,1930822583.0,2020-04-24 00:00:00.000000000,1761.84,65,24,4,2020,9,5,2020,16,4,2020,38,711,9-5-2020,2020-09-04 23:59:59.999999993,0-15days
103,200743996,2020.0,1930686889.0,2020-03-22 00:00:00.000000000,94612.03,65,22,3,2020,6,4,2020,22,3,2020,21,2598,6-4-2020,2020-06-04 00:00:00.000000000,0-15days
104,200769623,2020.0,1930787980.0,2020-04-15 00:00:00.000000000,22226.35,65,15,4,2020,30,4,2020,15,4,2020,34,2982,30-4-2020,2020-04-29 23:59:59.999999998,0-15days
105,200749782,2020.0,1930822131.0,2020-04-25 00:00:00.000000000,88502.01,65,25,4,2020,10,5,2020,25,4,2020,21,1554,10-5-2020,2020-10-05 00:00:00.000000000,0-15days
106,200744019,2020.0,1930641073.0,2020-03-13 00:00:00.000000000,1982.06,65,13,3,2020,17,5,2020,13,3,2020,33,2777,17-5-2020,2020-05-17 00:00:00.000000009,0-15days
107,200769623,2020.0,1930804577.0,2020-04-21 00:00:00.000000000,2326.08,65,21,4,2020,6,5,2020,21,4,2020,34,2981,6-5-2020,2020-06-04 23:59:59.999999998,0-15days
108,200705742,2020.0,1930592413.0,2020-03-02 00:00:00.000000000,9822.38,65,2,3,2020,17,3,2020,2,3,2020,21,820,17-3-2020,2020-03-16 23:59:59.999999996,0-15days
109,200744019,2020.0,1930857489.0,2020-05-05 00:00:00.000000000,29592.42,65,5,5,2020,20,5,2020,5,5,2020,21,2783,20-5-2020,2020-05-20 00:00:00.000000018,16-30days
110,200772670,2020.0,1930739252.0,2020-04-03 00:00:00.000000000,47903.76,65,3,4,2020,18,4,2020,3,4,2020,47,175,18-4-2020,2020-04-18 00:00:00.000000000,0-15days
111,200769623,2020.0,1930692953.0,2020-03-24 00:00:00.000000000,1898.9,65,24,3,2020,8,4,2020,24,3,2020,34,2980,8-4-2020,2020-08-03 23:59:59.999999998,0-15days
112,200900909,2020.0,1930741081.0,2020-04-03 00:00:00.000000000,7524.17,65,3,4,2020,18,4,2020,3,4,2020,21,2748,18-4-2020,2020-04-18 00:00:00.000000006,0-15days
113,200424504,2020.0,1930830032.0,2020-04-28 00:00:00.000000000,2428.04,65,28,4,2020,15,4,2020,15,4,2020,65,1671,15-4-2020,2020-04-15 00:00:00.000000013,0-15days
114,100031704,2020.0,1930794735.0,2020-04-16 00:00:00.000000000,1176.59,65,16,4,2020,20,6,2020,16,4,2020,33,730,20-6-2020,2020-06-20 00:00:00.000000000,0-15days
115,200764795,2020.0,1930637455.0,2020-03-18 00:00:00.000000000,10978.51,65,18,3,2020,19,4,2020,18,3,2020,14,2712,19-4-2020,2020-04-19 00:00:00.000000006,0-15days
116,200337148,2020.0,1930587342.0,2020-03-02 00:00:00.000000000,45127.79,65,2,3,2020,17,3,2020,2,3,2020,21,544,17-3-2020,2020-03-17 00:00:00.000000001,0-15days
117,200416837,2020.0,1930599382.0,2020-03-04 00:00:00.000000000,398.16,65,4,3,2020,24,3,2020,1,3,2020,38,701,24-3-2020,2020-03-23 23:59:59.999999993,0-15days
118,200769623,2020.0,1930623646.0,2020-03-09 00:00:00.000000000,58726.21,65,9,3,2020,24,3,2020,9,3,2020,34,2983,24-3-2020,2020-03-23 23:59:59.999999998,0-15days
119,200726979,2020.0,1930645815.0,2020-03-12 00:00:00.000000000,588.49,65,12,3,2020,27,3,2020,12,3,2020,21,310,27-3-2020,2020-03-27 00:00:00.000000002,0-15days
120,200721222,2020.0,1930800642.0,2020-04-20 00:00:00.000000000,25685.07,65,20,4,2020,5,5,2020,20,4,2020,21,1101,5-5-2020,2020-05-05 00:00:00.000000003,0-15days
121,200772595,2020.0,1930729101.0,2020-04-02 00:00:00.000000000,10020.14,65,2,4,2020,17,4,2020,2,4,2020,21,2374,17-4-2020,2020-04-17 00:00:00.000000000,0-15days
122,200820380,2020.0,1930716191.0,2020-03-30 00:00:00.000000000,48022.97,65,30,3,2020,14,4,2020,30,3,2020,21,2525,14-4-2020,2020-04-14 00:00:00.000000001,0-15days
123,200793568,2020.0,1930779652.0,2020-04-14 00:00:00.000000000,36623.03,65,14,4,2020,29,4,2020,14,4,2020,21,2640,29-4-2020,2020-04-29 00:00:00.000000006,0-15days
124,200706844,2020.0,1930732708.0,2020-04-01 00:00:00.000000000,22644.53,65,1,4,2020,16,4,2020,1,4,2020,21,3041,16-4-2020,2020-04-16 00:00:00.000000001,0-15days
125,100043975,2020.0,1930586661.0,2020-03-02 00:00:00.000000000,7212.0,65,2,3,2020,17,3,2020,2,3,2020,21,2906,17-3-2020,2020-03-17 00:00:00.000000003,0-15days
126,200769623,2020.0,1930692548.0,2020-03-25 00:00:00.000000000,15797.23,65,25,3,2020,9,4,2020,25,3,2020,34,2983,9-4-2020,2020-09-03 23:59:59.999999998,0-15days
127,200762301,2020.0,1930630515.0,2020-03-11 00:00:00.000000000,2018.45,65,11,3,2020,26,3,2020,11,3,2020,26,431,26-3-2020,2020-03-26 00:00:00.000000000,0-15days
128,200769623,2020.0,1930593446.0,2020-03-04 00:00:00.000000000,14706.98,65,4,3,2020,19,3,2020,4,3,2020,34,2981,19-3-2020,2020-03-18 23:59:59.999999998,0-15days
129,200729290,2020.0,1930599215.0,2020-03-04 00:00:00.000000000,115494.14,65,4,3,2020,19,3,2020,4,3,2020,21,1575,19-3-2020,2020-03-19 00:00:00.000000001,0-15days
130,200769623,2020.0,1930827122.0,2020-04-27 00:00:00.000000000,1898.9,65,27,4,2020,12,5,2020,27,4,2020,34,2986,12-5-2020,2020-12-04 23:59:59.999999998,0-15days
131,200769623,2020.0,1930750644.0,2020-04-06 00:00:00.000000000,37684.36,65,6,4,2020,21,4,2020,6,4,2020,34,2986,21-4-2020,2020-04-20 23:59:59.999999998,0-15days
132,200705372,2020.0,1930637990.0,2020-03-13 00:00:00.000000000,19961.05,65,13,3,2020,28,3,2020,13,3,2020,21,990,28-3-2020,2020-03-28 00:00:00.000000000,0-15days
133,200769623,2020.0,1930675431.0,2020-03-22 00:00:00.000000000,11826.09,65,22,3,2020,6,4,2020,22,3,2020,34,2983,6-4-2020,2020-06-03 23:59:59.999999998,0-15days
134,200742791,2020.0,1930603823.0,2020-03-10 00:00:00.000000000,24843.48,65,10,3,2020,25,3,2020,10,3,2020,21,2219,25-3-2020,2020-03-25 00:00:00.000000000,0-15days
135,200743996,2020.0,1930718352.0,2020-03-30 00:00:00.000000000,32224.05,65,30,3,2020,14,4,2020,30,3,2020,21,2600,14-4-2020,2020-04-14 00:00:00.000000000,0-15days
136,200769623,2020.0,1930752522.0,2020-04-06 00:00:00.000000000,9937.06,65,6,4,2020,21,4,2020,6,4,2020,34,2986,21-4-2020,2020-04-20 23:59:59.999999998,0-15days
137,200759878,2020.0,1930752430.0,2020-04-08 00:00:00.000000000,12417.47,65,8,4,2020,23,4,2020,8,4,2020,34,2361,23-4-2020,2020-04-22 23:59:59.999999996,0-15days
138,200762301,2020.0,1930584581.0,2020-03-02 00:00:00.000000000,4301.57,65,2,3,2020,17,3,2020,2,3,2020,26,435,17-3-2020,2020-03-17 00:00:00.000000001,0-15days
139,200769623,2020.0,1930885637.0,2020-05-12 00:00:00.000000000,22549.83,65,12,5,2020,27,5,2020,12,5,2020,34,2976,27-5-2020,2020-05-26 23:59:59.999999998,0-15days
140,100043936,2020.0,1930627707.0,2020-03-10 00:00:00.000000000,18145.19,65,10,3,2020,20,3,2020,10,3,2020,11,2034,20-3-2020,2020-03-20 00:00:00.000000002,0-15days
